text;context;verse;predicate;form;lexeme;PoS;head;anim;semantics;number;role;case;marker;allomorph;postp;trajector;motion;dialect;area;year;period
Lç;"""Posible da itsuak itsua gida ahal dezan? Eztira biak <hobira> eroriren?""";Lk 6,39;erori;hobira;hobi;noun;hobi;inanim;hole;SG;Goal;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""Bi parra-xori eztirade dirutxo batetan saltzen? Eta hetarik bat ezta <lurrera> eroriren, zuen Aita gabe.""";Mt 10,29;erori;lurrera;lur;noun;lur;inanim;orientation;SG;Goal;allative;–ra;;;animal;real;L;E;1571;Archaic
Lç;"""baldin ogi bihia <lurrera> eroririk hil ezpadadi""";Jn 12,24;erori;lurrera;lur;noun;lur;inanim;orientation;SG;Goal;allative;–ra;;;substance;real;L;E;1571;Archaic
Lç;"""bertan spirituak zathika zezan hura, eta <lurrera> eroririk iraulzkatzen zen haguna lariola.""";Mk 9,20;erori;lurrera;lur;noun;lur;inanim;orientation;SG;Goal;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""zen haren izerdia odol xorta gatzatu <lurrera> erorten diradenak bezala.""";Lk 22,44;erori;lurrera;lur;noun;lur;inanim;orientation;SG;Goal;allative;–ra;;;substance;real;L;E;1571;Archaic
Lç;"""Eta hedaturik bere eskua <bere diszipuluén gainera>""";Mt 12,49;erori;gainera;diszipulu;noun;diszipulu;human;location;PL;Goal;allative;–ra;;GEN_gain;body-part;real;L;E;1571;Archaic
Lç;"""anhitz Fariseuetarik eta Saduzeuetarik ethorten ziradela <haren baptismora>""";Mt 3,7;etorri;baptismora;bataio;noun;bataio;inanim;event;SG;Goal;allative;–ra;;;people;real;L;E;1571;Archaic
Lç;"""Ethor zedin emazte Samaritana bat ur <idokitera>""";Jn 4,7;etorri;idokitera;edeki;nmlz;edeki;inanim;;SG;Purpose;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""utzi itzazue hauk <joaitera>.""";Jn 18,8;utzi;joaitera;joan;nmlz;joan;inanim;;SG;Complement;allative;–ra;;;human;inanim;L;E;1571;Archaic
Lç;"""ilkhirik hango <karriketara>""";Lk 10,10;jalgi;karriketara;karrika;noun;karrika;inanim;area;PL;Goal;allative;–ra;;;human;real;L;E;1571;Archaic
